Source.Name,Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
bladder_male.xlsx,ARIZONA,CR,18,2015-2019,ALL,ALL,m,ALL,ALL,221,30.4,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,YUMA,CR,18,2015-2019,4027,ALL,m,ALL,ALL,221,24.4,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,YAVAPAI,CR,18,2015-2019,4025,ALL,m,ALL,ALL,221,38.4,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,SANTA CRUZ,CR,18,2015-2019,4023,ALL,m,ALL,ALL,221,24.9,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,PINAL,CR,18,2015-2019,4021,ALL,m,ALL,ALL,221,30.4,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,PIMA,CR,18,2015-2019,4019,ALL,m,ALL,ALL,221,31.2,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,NAVAJO,CR,18,2015-2019,4017,ALL,m,ALL,ALL,221,25.3,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,MOHAVE,CR,18,2015-2019,4015,ALL,m,ALL,ALL,221,34.4,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,MARICOPA,CR,18,2015-2019,4013,ALL,m,ALL,ALL,221,30.6,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,LA PAZ,CR,18,2015-2019,4012,ALL,m,ALL,ALL,221,26.2,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,GRAHAM,CR,18,2015-2019,4009,ALL,m,ALL,ALL,221,24.5,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,GILA,CR,18,2015-2019,4007,ALL,m,ALL,ALL,221,23.3,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,COCONINO,CR,18,2015-2019,4005,ALL,m,ALL,ALL,221,19.5,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,COCHISE,CR,18,2015-2019,4003,ALL,m,ALL,ALL,221,29,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
bladder_male.xlsx,APACHE,CR,18,2015-2019,4001,ALL,m,ALL,ALL,221,12.5,2023-10-04T09:15:11.880,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Male
